시리즈,선형번호,전저항_Rt/Δ×10³,레이놀즈수_Rn,프루드수_Fn,주형계수_Cp,중앙단면계수_Cm,방형계수_Cb,수선면계수_Cw,길이폭비_L/B,폭흘수비_B/T,길이흘수비_L/T,세장비_L/∇^(1/3),부심위치_LCB/L,부면심위치_LCF/L,LCB/LCF,침수면적비_S/∇^(2/3),수선면적비_Aw/∇^(2/3),S/Aw,S/Ax,Ax/Aw
Delft,Delft-6,191.414536,64327019.9,0.651418145,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,197.4812536,69072782.68,0.699476893,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-7,0.444574781,9870388.981,0.099954117,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,0.847470676,12342971.27,0.124993128,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,1.1670088,14805583.47,0.149931176,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,1.708834314,17268195.67,0.174869223,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,2.347910562,19720837.78,0.199706307,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,3.056451619,22213360.25,0.224947246,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,4.140102647,24675972.45,0.249885293,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,6.904802066,29641077.21,0.300165243,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
